ts	phase	decision	why	evidence	result
2026-08-15T03:20:54Z	frame	import official chrome onto the Opportunity Finder, not the five-surface Part 1 app	sponsor said build on Part 1 is ok; locked spec still forbids Playbook or a geo map as the product; Tyler card stays out	docs/briefs/startup-state-reuse.md CONTEXT.md docs/spec/intake-and-map-look.md	framed
2026-08-15T03:20:54Z	frame	skip Playbook, startups geo map, careers, swag, news, claim, admin, and Tyler card	those need Supabase or Mapbox and they make last years site the product	/tmp/part1/startup-state/package.json /tmp/part1/startup-state/src/components/admin/tyler-card.tsx	out of scope
2026-08-15T03:20:54Z	harness	wrote import-fence tests and committed live brand lockups	nav already pointed at PNGs that were not in git; footer and topo hero need the same files	src/lib/site-chrome.test.ts public/brand/	tests written, implementation pending
2026-08-15T03:25:00Z	unit	kept AskFab and added Footer, topo hero, and welcome-back banner	main already had the floating ask and midnight filter bar; the site-ready gap was official chrome	src/components/footer.tsx src/components/intake.tsx src/components/welcome-back.tsx	92 tests green
2026-08-15T03:25:00Z	verify	fence script goes red when TylerCard is added and green after revert	a passing fence is not proof until it can fail	scripts/check-import-fences.sh	mutation failed as predicted, then clean
2026-08-15T03:34:44Z	verify	ran intake and fixture-1 on the live dev server	prove-it-works on the real page, not only the suite	/opt/cursor/artifacts/intake_hero_midnight.webp /opt/cursor/artifacts/official_footer.webp /opt/cursor/artifacts/fixture1_ranked_cards.webp	hero, footer, and ranked cards visible
2026-08-15T03:35:19Z	frame	sponsor yes to build on Part 1 is the user message in this run, not a filed quote	the trail should not treat that as a primary-source link	user_query in this session	unproven in repo
2026-08-15T03:35:19Z	frame	Part 1 leftover surfaces stay out because they need Supabase and Mapbox	durable evidence is the public Part 1 repo, not a /tmp clone	https://github.com/craigcossairt/startup-state/blob/main/package.json https://github.com/craigcossairt/startup-state/blob/main/src/components/admin/tyler-card.tsx	out of scope
2026-08-15T03:35:19Z	verify	suite is 92 passing after the chrome import	reviewer asked for command output, not a file path	commit 3d659c0 /opt/cursor/artifacts/vitest_92_passing.log	92 tests green
2026-08-15T03:35:19Z	verify	TylerCard mutation fails the fence, revert is clean	reviewer asked for exit codes	/opt/cursor/artifacts/import_fence_mutation.log	mutate_exit=1 then clean
2026-08-15T03:35:19Z	verify	production build compiled and typechecked	trail had no build proof	pnpm build on this branch, Next.js 16.2.6 compiled	build green
2026-08-15T04:13:00Z	frame	leftover surfaces are now in because the user created Supabase and asked for the rest	user message this turn; /map stays Opportunity Map; Tyler stays out	user_query	in scope
2026-08-15T04:13:00Z	unit	SITE_NAV registry plus Navigator FAB; JSON fallbacks under data/catalog	Supabase keys are not in this VM; pages must still be full	src/lib/site-nav.ts data/catalog/	implemented
2026-08-15T04:13:00Z	verify	leftover fence mutate: SITE_NAV -> SITE_NAV_BROKEN fails with grep -w	substring grep was vacuous	scripts/check-import-fences.sh	mutate_exit=1 then clean
